Edit,Action
"I want to add quote ""hello world"" in red color and small font size at the bottom  of the clip from second 2 to 4.",Quote
"Place the quote ""hello world"" in the bottom  of the clip with red color and small font size from second 2 to 4.",Quote
"Please insert the quote ""hello world"" in red color and small size at the bottom  of the clip for the duration of second 2 to 4.",Quote
"Can you add the quote ""hello world"" in red color and small font size in the middle of the clip from second 2 to 4?",Quote
"I need you to include the quote ""hello world"" with red color and small size in the bottom  of the clip from second 2 to 4.",Quote
"Add the quote ""hello world"" in small size and red color at the bottom  of the video clip from second 2 to 4.",Quote
"Please insert the quote ""hello world"" with red color and small font size in the middle of the clip from second 2 to 4.",Quote
"Can you add a red quote ""hello world"" with a small font size in the bottom  of the video for the duration of second 2 to 4?",Quote
"I want you to place the quote ""hello world"" at the bottom  of the clip with red color and small font size from second 2 to 4.",Quote
"Please add the quote ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Quote
"Can you include the quote ""hello world"" with red color and small size at the bottom  of the clip from second 2 to 4?",Quote
"Add a small quote ""hello world"" in red color at the bottom  of the video clip from second 2 to 4.",Quote
"Place the quote ""hello world"" with red color and small font size in the bottom  of the clip for the duration of second 2 to 4.",Quote
"I need you to insert the quote ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Quote
"Can you add a quote ""hello world"" in red color and small size in the bottom  of the clip from second 2 to 4?",Quote
"Can you insert the statement ""hello world"" in red with a small size at the center of the clip from second 2 to 4?",Statement
"Add the statement ""hello world"" in red with a small size at the center of the video between second 2 and 4.",Statement
"Place the statement ""hello world"" in the center of the video between the 2nd and 4th second in red color and small size.",Statement
"Can you please add a statement that says ""hello world"" with a red color and small font size at the center of the clip from second 2 to 4?",Statement
"Insert the statement ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Statement
"Can you put a statement that says ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Statement
"Add the statement ""hello world"" in red color and small size at the center of the video between second 2 to 4.",Statement
"Could you please insert the statement ""hello world"" in red color and small font size at the center of the clip between second 2 to 4?",Statement
"Place a statement that says ""hello world"" with a red color and small size at the center of the clip from second 2 to 4.",Statement
"I would like to add a statement ""hello world"" in red color and small font size at the center of the video between second 2 to 4.",Statement
"Can you put the statement ""hello world"" in red with small font size at the center of the clip from second 2 to 4?",Statement
"Add the statement ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Statement
"Could you please insert the statement ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Statement
"Can you add a statement with red color and small size saying ""hello world"" in the center of the clip from second 2 to 4?",Statement
"Put the statement ""hello world"" in red color and small size at the center of the video between second 2 and 4.",Statement
"Please add a statement ""hello world"" in red color and small size at the center of the clip between second 2 to 4.",Statement
"Add a statement that says ""hello world"" with a red color and small size at the center of the video between second 2 and 4.",Statement
"Could you please insert a statement that says ""hello world"" in red color and small size at the center of the clip from second 2 to 4?",Statement
"I want to add a statement ""hello world"" in blue color and small font size at the center of the clip from second 2 to 4.",Statement
"Can you put a statement ""hello world"" in the center of the clip from second 2 to 4 with blue color and small size?",Statement
"Can you insert a ""hello world"" statement with blue color and small size in the center of the clip between seconds 2 and 4?",Statement
"Add a statement layer saying ""hello world"" in green with small font size at the center of the clip starting from second 2 till second 4.",Statement
"Place a small green ""hello world"" statement in the middle of the video between second 2 and second 4.",Statement
"Could you create a green statement ""hello world"" in the center of the clip starting from second 2 and ending at second 4?",Statement
"Please add a small green statement ""hello world"" in the center of the video from 2 seconds to 4 seconds.",Statement
"Insert a ""hello world"" statement with red color and small size in the center of the clip between seconds 2 and 4, please.",Statement
"Add a small statement ""hello world"" in red color and with small font size at the center of the clip between seconds 2 and 4.",Statement
"Can you put a ""hello world"" statement in red color and small size at the center of the clip from second 2 to second 4?",Statement
"Could you add a small red ""hello world"" statement at the center of the clip from second 2 to second 4?",Statement
"Place a red statement ""hello world"" with small font size in the center of the clip from second 2 to second 4.",Statement
"Please insert a red ""hello world"" statement with small font size in the center of the clip between seconds 2 and 4.",Statement
"Could you put a small red statement ""hello world"" in the center of the clip from second 2 to second 4?",Statement
"Add a ""hello world"" statement in red color and small size at the center of the clip between seconds 2 and 4, please.",Statement
"Can you add a small red statement ""hello world"" at the center of the clip from second 2 to second 4?",Statement
"Could you create a small red ""hello world"" statement at the center of the clip starting from second 2 and ending at second 4?",Statement
"Please insert a red ""hello world"" statement with small font size in the center of the video from 2 to 4 seconds.",Statement
"Add a small statement ""hello world"" in red color with small font size at the center of the clip between seconds 2 and 4.",Statement
"Place a red ""hello world"" statement with small font size in the center of the clip between seconds 2 and 4.",Statement
"Could you put a small red ""hello world"" statement in the center of the video from 2 to 4 seconds?",Statement
"Add a ""hello world"" statement in red color with small font size in the center of the video between seconds 2 and 4.",Statement
"Please create a small red statement ""hello world"" in the center of the clip from second 2 to second 4.",Statement
"Insert a red ""hello world"" statement with small font size in the center of the video between seconds 2 and 4, please.",Statement
"Can you add a small red statement ""hello world"" with small font size in the center of the video from 2 to 4 seconds?",Statement
"Place a ""hello world"" statement in red color with small font size at the center of the clip from second 2 to second 4.",Statement
"Could you put a small blue statement ""hello world"" with small font size in the center of the clip between seconds 2 and 4?",Statement
"Add a small statement ""hello world"" in blue color",Statement
"Can you insert the statement ""hello world"" in blue and small font size in the middle of the clip from second 2 to 4?",Statement
"Add the statement ""hello world"" in small size and red color in the center of the video clip from second 2 to 4.",Statement
"Please include the statement ""hello world"" with red color and small size at the center of the clip from second 2 to 4.",Statement
"Can you place the statement ""hello world"" at the center of the clip with red color and small font size for the duration from second 2 to 4?",Statement
"Add a red statement ""hello world"" with a small font size in the center of the video from second 2 to 4.",Statement
"I want to add statement ""hello world"" in red color and small font size at the center of the clip from second 2 to 4.",Statement
"Place the statement ""hello world"" in the center of the clip with red color and small font size from second 2 to 4.",Statement
"Please insert the statement ""hello world"" in red color and small size at the center of the clip for the duration of second 2 to 4.",Statement
"Can you add the statement ""hello world"" in red color and small font size in the middle of the clip from second 2 to 4?",Statement
"I need you to include the statement ""hello world"" with red color and small size in the center of the clip from second 2 to 4.",Statement
"Add the statement ""hello world"" in small size and red color at the center of the video clip from second 2 to 4.",Statement
"Please insert the statement ""hello world"" with red color and small font size in the middle of the clip from second 2 to 4.",Statement
"Can you add a red statement ""hello world"" with a small font size in the center of the video for the duration of second 2 to 4?",Statement
"I want you to place the statement ""hello world"" at the center of the clip with red color and small font size from second 2 to 4.",Statement
"Please add the statement ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Statement
"Can you include the statement ""hello world"" with red color and small size at the center of the clip from second 2 to 4?",Statement
"Add a small statement ""hello world"" in red color at the center of the video clip from second 2 to 4.",Statement
"Place the statement ""hello world"" with red color and small font size in the center of the clip for the duration of second 2 to 4.",Statement
"I need you to insert the statement ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Statement
"Can you add a statement ""hello world"" in red color and small size in the center of the clip from second 2 to 4?",Statement
Make this video blurry.,blurry
Apply a blur effect to this video.,blur
Create a blurred version of this video.,blurred
Add some blur to this video.,blur
Make this video less sharp.,less sharp
Apply a softening effect to this video.,softening
Reduce the clarity of this video.,clarity
Make this video less defined.,less defined
Add a hazy effect to this video.,hazy
Create a fuzzy version of this video.,fuzzy
Introduce some blur to this video.,blur
Make this video out of focus.,out of focus
Apply a defocusing effect to this video.,defocusing
Reduce the sharpness of this video.,sharpness
Create a less distinct version of this video.,less
Add a smoky effect to this video.,smoky
Give this video a misty appearance.,misty
Create a veiled version of this video.,veiled
Apply a foggy effect to this video.,foggy
Make this video appear blurry and indistinct.,indistinct 
Apply a blurring filter to this video.,blurring 
Create a blurred-out version of this video.,blurred
Add some softness to this video.,softness
Give this video a hazy look.,hazy
Make this video appear less clear.,less clear
Apply a diffusing effect to this video.,diffusing
Create a fuzzy-looking version of this video.,fuzzy
Introduce some haziness to this video.,haziness
Apply a smudging effect to this video.,smudging
Make this video less defined and sharp.,less defined
Add a misty overlay to this video.,misty
Create a blurry and dreamy version of this video.,blurry
Give this video a foggy appearance.,foggy
Apply a defocused effect to this video.,defocused
Make this video look out of focus and indistinct.,out of focus
Create a hazy and soft version of this video.,hazy
Add a slightly blurred effect to this video.,blurred
Make this video appear less focused and more abstract.,less focused
Apply a subtle blur effect to this video.,blur
Create a misty and ethereal version of this video.,misty
Can you increase the brightness of this video?,brightness
Could you enhance the brightness of this video?,brightness
Can you make this video brighter?,brighter
Can you adjust the brightness of this video?,
Could you improve the brightness of this video?,
Can you make the video more visible?,
Could you make the video clearer?,
Can you make the video less dark?,
Can you increase the visibility of the video?,
Could you enhance the clarity of the video?,
Can you make the video more vivid?,
Could you make the video less dull?,
Can you make the video more vibrant?,
Could you brighten up the video a bit?,
Can you lighten up the video a little?,
Could you adjust the lighting in this video?,
Can you make the video more luminous?,
Can you make the video more radiant?,
Could you increase the luminosity of the video?,
Can you make the video more brilliant?,
Could you amplify the brightness of this video?,
Can you make the video more radiant?,
Could you make the video more cheerful?,
Can you enhance the radiance of the video?,
Could you make the video more vivid?,
Can you increase the saturation of this video?,
Could you adjust the exposure of this video?,
Can you make the video more colorful?,
Could you make the video more dynamic?,
Can you make the video more lively?,
Could you increase the intensity of the video?,
Can you make the video more striking?,
Could you make the video more eye-catching?,
Can you make the video more appealing?,
Could you make the video more attractive?,
Can you increase the contrast of this video?,
Could you make the video more dazzling?,
Can you make the video more beautiful?,
Could you make the video more engaging?,
Can you make the video more interesting to watch?,
Could you make the video more aesthetically pleasing?,
Can you make the video more captivating?,
Could you make the video more alluring?,
Can you make the video more enticing?,
Could you make the video more compelling?,
Can you make the video more glamorous?,
Could you make the video more stunning?,
Can you make the video more exciting?,
Could you make the video more enchanting?,
Can you make the video more magical?,
brighten this video ,
brigten this clip ,
Decrease the brightness of this video.,
Dim this video down.,
Darken the video a bit.,
Make the video less bright.,
Reduce the brightness of this video.,
Tone down the brightness of the video.,
Take down the brightness of this video.,
Subdue the brightness of this video.,
Cut down the brightness of this video.,
Tamp down the brightness of the video.,
Diminish the brightness of the video.,
Bring the brightness level of the video down.,
Dim the brightness of the video.,
Make the video less luminous.,
Lower the luminosity of the video.,
Tone down the luminance of the video.,
Reduce the light level of the video.,
Decrease the level of brightness in the video.,
Make the video less radiant.,
Reduce the radiance of the video.,
Lower the glow of the video.,
Cut the brightness level of the video down.,
Mute the brightness of the video.,
Tone down the brilliance of the video.,
Reduce the glare in the video.,
Dim the light in the video.,
Dull the brightness of the video.,
Dim the radiance of the video.,
Tamp down the brilliance of the video.,
Bring the light level of the video down.,
Lower the brightness of the video to a more suitable level.,
Take the brightness of the video down a notch.,
Decrease the luminance of the video.,
Tone down the intensity of the light in the video.,
Dim the intensity of the light in the video.,
Turn down the brightness of the video.,
Pull down the brightness level of the video.,
Dim the lightness of the video.,
Make the video less dazzling.,
Mellow the brightness of the video.,
Take the luminance of the video down.,
Lower the video's brightness to a comfortable level.,
Dampen the brightness of the video.,
Dial down the brightness of the video.,
Tweak the brightness level of the video down.,
Soften the brightness of the video.,
Lower the level of radiance in the video.,
Bring the luminance level of the video down.,
Bring the brightness of the video down a bit.,
Take the brightness level of the video down slightly.,
